x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.6524678,4449.33,0.30249023,8.801584,0.15465516,0.11920468,0.058727108,0.068435945
0.65818757,4286.228,0.3436706,9.399162,0.15041748,0.10051669,0.06210022,0.07057304
0.63050634,4018.731,2.5421898,4.6109753,0.120205134,0.102767125,0.090399176,0.060205597
0.6455473,3550.8875,0.46782038,4.366991,0.0923422,0.096618444,0.07793619,0.060231414
0.6665442,2819.251,4.0213084,2.9488626,0.102941304,0.10908216,0.08130728,0.05744101
0.6456215,2876.4033,2.7135987,2.336114,0.09779787,0.11244189,0.06848875,0.06306059
0.6295463,4110.7324,3.274186,4.821539,0.10758048,0.077511944,0.06683648,0.059256557
0.62652034,4836.3584,1.9032617,7.486862,0.094621316,0.07227276,0.064808525,0.05196774
0.64127225,4507.2456,1.7262986,7.8127465,0.110298336,0.07495449,0.056949273,0.050255805
0.6718738,3772.032,1.8412726,8.061125,0.101311795,0.1265951,0.09797458,0.07541783
0.6297906,3951.7969,1.0253487,4.583599,0.07945682,0.108072944,0.06860241,0.08021106
0.7026364,2137.142,3.3906987,2.2734838,0.11230547,0.09785387,0.06583731,0.053040884
0.6878399,2180.7646,4.054546,1.8714759,0.10573904,0.08963835,0.06571036,0.051760204
0.6135688,2641.8083,0.24903704,1.3149765,0.09729425,0.10900284,0.088322476,0.09569691
0.6637989,2032.5549,0.14631318,1.0897053,0.12521386,0.07552565,0.06492318,0.08361219
0.68574274,2067.743,0.07613345,1.657807,0.10011135,0.07860515,0.0771521,0.097681984
0.64364725,2075.4697,0.041007422,0.91618204,0.0978197,0.09004737,0.06985464,0.08082802
0.6110833,2632.265,0.008130818,1.235923,0.115968235,0.08182612,0.07073271,0.07562702
0.6044763,2810.5054,0.061780836,1.3671209,0.12064634,0.14689136,0.097252175,0.058343668
0.70333695,1918.1714,0.9178083,1.5375863,0.10791979,0.07680413,0.062032297,0.092804186
0.6526147,2302.0562,0.3216385,1.3014747,0.19956861,0.12592174,0.06025609,0.07611991
0.6361681,2573.5493,0.31370434,1.36124,0.20173916,0.17011814,0.048387434,0.077601165
0.6241227,2677.8933,0.2729316,1.4289837,0.20130186,0.17163706,0.04736682,0.075984955
0.7644822,1540.7689,0.49565557,2.1643527,0.11530523,0.1442214,0.08658375,0.07321197
0.63615453,4227.378,3.095421,5.952029,0.113655105,0.07509918,0.06498779,0.060412034
0.67658424,2749.3357,0.36905536,3.1167397,0.07855758,0.15014431,0.068298645,0.07101847
0.693324,2162.5027,3.064783,2.0330713,0.12153248,0.12814374,0.07956537,0.052615486
0.7084217,2420.2632,1.2238516,3.3259416,0.1439246,0.11093108,0.095616534,0.09536135
0.7089691,2051.7188,1.8417814,2.1988559,0.09268211,0.1359033,0.06062351,0.051156387
0.7266869,1699.7427,1.5413693,1.5546141,0.12542334,0.0668724,0.07969299,0.08890864
0.7175033,1632.474,1.5015047,1.0958432,0.11526279,0.09249134,0.09713087,0.08373905
0.70649385,2260.496,0.9617759,2.836062,0.09025304,0.07168114,0.07844506,0.0836274
0.6459467,3392.2046,3.211847,3.778132,0.09753379,0.09512174,0.06357499,0.062609665
0.63115156,2880.7075,4.895199,2.0769358,0.08988403,0.10301261,0.07775555,0.06683311
0.6574448,2527.5322,4.2640047,1.808462,0.1062826,0.10943886,0.064010054,0.05817959
0.5970384,3202.5808,1.7332232,1.6685045,0.08255181,0.11360715,0.06764927,0.076031454
0.58502686,4964.61,1.7300739,4.017806,0.121685654,0.11960283,0.06990815,0.07746644
0.7268203,2130.2705,1.4150016,3.5872617,0.112625115,0.09830532,0.07401867,0.062253635
0.66314524,3661.6956,0.6688756,6.5978804,0.13541575,0.084492385,0.07845123,0.07908557
0.68433774,1978.5951,2.2085595,1.3128836,0.07165406,0.09851161,0.06952955,0.042781238
0.6735972,2239.3352,2.6343749,1.6831536,0.08798483,0.08753798,0.06567794,0.04254561
0.65695876,1736.728,3.8323846,0.61611944,0.106683925,0.086966366,0.069632865,0.058868427
0.6327725,3227.316,1.643693,2.6293585,0.13091205,0.11425263,0.06721493,0.056122176
0.66186595,3801.7837,1.1321317,6.3312993,0.13756222,0.1617952,0.055309694,0.06986242
0.638999,3844.2917,2.7552543,4.808236,0.10605327,0.11920695,0.06546782,0.060022403
0.63915217,4015.14,2.2419271,5.3133707,0.09578979,0.12857099,0.060418446,0.049724787
0.6536848,3948.3123,2.7139046,6.6226087,0.098775364,0.110978544,0.06406294,0.055287875
0.650244,4594.7603,0.7590759,9.498742,0.08890584,0.24283071,0.07020128,0.12878534
0.67938113,2969.3364,2.424733,4.4955707,0.091325104,0.06838083,0.077348515,0.054309227
0.6370122,3294.95,1.0176709,2.9849193,0.10805695,0.096775725,0.08035879,0.09627922
0.70742625,3033.9438,3.198958,8.530853,0.1038395,0.08772257,0.06807776,0.08163303
0.5992941,3608.0542,1.6086937,2.4295216,0.09600093,0.08146578,0.08909996,0.12234257
0.6527876,3186.5278,1.1129645,3.4196768,0.087802455,0.10136541,0.08661249,0.122060865
