x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.631897,4001.0789,1.7502007,5.468978,0.051214524,0.09975068,0.14054507,0.07374077
0.6221286,4249.8984,0.5720575,5.525033,0.05605593,0.19443356,0.086551845,0.0698282
0.61261386,4598.38,2.6430001,5.7068644,0.04671544,0.20714691,0.081998676,0.084381096
0.64892316,3623.104,2.8558228,5.1085157,0.07102112,0.3064495,0.075160064,0.07710635
0.6514885,3557.7783,1.4306087,5.0203104,0.039554264,0.1846422,0.035809334,0.035395913
0.68803906,2888.517,2.0629792,5.193611,0.083231926,0.048168417,0.05383376,0.043566607
0.64284945,3303.1394,1.8046658,3.4871864,0.09250228,0.053909115,0.03055994,0.08129657
0.67257947,2357.4304,1.2109333,2.3133264,0.09906663,0.04964948,0.10594697,0.091226496
0.69437444,2645.094,0.9669617,4.6013594,0.08146138,0.04263074,0.14461784,0.096825525
0.5514623,4497.5713,3.1208298,2.6211863,0.050637215,0.06102583,0.3355553,0.09884698
0.6486432,2318.875,1.191239,1.7769489,0.04807389,0.040643346,0.14292596,0.15648894
0.62470925,2275.6162,1.21906,1.1046044,0.05388281,0.05016613,0.08713388,0.15481849
0.6061467,5731.559,2.5923672,9.8008585,0.062203813,0.039670967,0.08211146,0.21859846
0.6738172,3678.1511,1.3771212,8.371407,0.060303587,0.089538984,0.05007425,0.1380909
0.58256835,3931.1255,2.463553,2.9603474,0.039029434,0.054320686,0.067274235,0.09517092
0.75063896,1315.25,1.7276534,0.9159366,0.14975886,0.08910752,0.20822404,0.17120415
0.77870923,1652.7799,0.8944014,4.0699897,0.1979464,0.062807105,0.10855891,0.20921746
0.58563644,2331.7861,1.9095088,0.73229223,0.17534149,0.06506733,0.121965855,0.20795895
0.58402216,2356.8972,1.9465675,0.6797973,0.17585146,0.06436905,0.12181137,0.20678577
0.6883278,1909.807,1.8551482,1.502358,0.095401965,0.09092961,0.062136266,0.06997317
0.57642025,2576.77,2.2225235,0.81128615,0.059565302,0.104596406,0.035001244,0.098906785
0.71702856,2258.249,0.59475684,3.2908597,0.10935146,0.06504288,0.09088323,0.4174852
0.7031758,2773.474,0.3594635,5.150459,0.10031647,0.08423774,0.08862173,0.31898582
0.5970778,3884.0557,1.1474637,2.8261971,0.17776497,0.14306502,0.06307814,0.044681117
0.6946908,2542.7112,2.3592112,3.7433064,0.1653024,0.117162414,0.0625104,0.048417833
0.63455284,4691.4653,0.7915657,8.264776,0.085712545,0.07279126,0.06297154,0.04074984
0.6836979,3677.4202,0.8980172,10.29965,0.07434037,0.04407925,0.0720152,0.04413846
0.65875465,2664.6987,1.7622185,2.2707474,0.13160343,0.17693287,0.07027285,0.09537874
0.633104,3265.3499,0.2752442,2.7530007,0.16768059,0.19557942,0.058388475,0.06910338
0.6341105,4037.549,2.168479,5.1718116,0.07881247,0.14255303,0.045597665,0.05800534
0.6689563,3130.617,1.2273024,4.8993835,0.11246433,0.17059106,0.076738276,0.05416396
0.650391,3351.823,1.4015361,4.43129,0.07518025,0.17573112,0.108850166,0.035882518
0.62942815,2302.1606,2.2113266,1.2027729,0.055978615,0.13638335,0.03320766,0.086053304
0.66102993,4137.1777,0.9575602,8.842992,0.05472148,0.12490339,0.1622814,0.05625892
0.64055073,2251.054,4.0802937,1.1653097,0.050201748,0.13657461,0.10806233,0.018297499
